difficulty,4th_notes,8th_notes,12th_notes,16th_notes,all_notes,4th_notes_d,8th_notes_d,12th_notes_d,16th_notes_d
10,10420,991,258,15,11684,0.8918178705922629,0.08481684354673057,0.02208147894556659,0.0012838069154399178
20,14752,2208,381,59,17400,0.847816091954023,0.12689655172413794,0.02189655172413793,0.0033908045977011493
30,18525,3615,535,150,22825,0.8116100766703176,0.1583789704271632,0.023439211391018618,0.0065717415115005475
35,2587,673,125,37,3422,0.7559906487434249,0.19666861484511983,0.03652834599649328,0.01081239041496201
